trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.4, 'e': 0.1184418290138037}",20,10,10.69752501741907,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.4, 'e': 0.11648415777349697}",25,7,21.58477236031794,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.4, 'e': 0.11455884399268774}",25,0,-16.49844362261822,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.4, 'e': 0.11266535284961243}",30,21,17.714237586882362,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.4, 'e': 0.11080315836233387}",20,6,20.67069836318653,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.4, 'e': 0.1089717432426314}",25,9,18.7040506589109,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.4, 'e': 0.10717059875230674}",25,15,20.674207255493698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.4, 'e': 0.10539922456186433}",25,0,15.305133353915132,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.4, 'e': 0.10365712861152782}",25,13,22.97803532303746,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4, 'e': 0.10194382697455365}",20,6,11.39049692915706,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.4, 'e': 0.1002588437228037}",20,14,12.726263055878226,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.4, 'e': 0.09860171079454012}",30,12,-7.529333994017153,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.4, 'e': 0.09697196786440505}",20,16,8.943619994274671,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.4, 'e': 0.09536916221554961}",20,11,5.533142462483035,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.4, 'e': 0.09379284861387625}",20,6,-18.984658213250505,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
